song_PK,song_id,song_singer,song_name,song_album,song_duration,song_popularity,song_release_date,record_date
2GNjjWYymmIS8HEC4Xp2eu|63,2GNjjWYymmIS8HEC4Xp2eu,Wos,ARRANCÁRMELO,DESCARTABLE,03:03,63,2024-03-21,2024-06-02
5uHAzGa4d9j35DEbhUwGhi|67,5uHAzGa4d9j35DEbhUwGhi,Wos,MELÓN VINO,CARAVANA,02:56,67,2019-10-04,2024-06-02
37o3TuM0nRPMa9f9qpUKlo|64,37o3TuM0nRPMa9f9qpUKlo,Wos,QUEMARÁS,DESCARTABLE,04:23,64,2024-03-21,2024-06-02
25NPeIjHjQGvyp4D52Tji2|66,25NPeIjHjQGvyp4D52Tji2,Wos,OKUPA,CARAVANA,02:23,66,2019-10-04,2024-06-02
2ONADYjJvqYVwjWavuY0H1|66,2ONADYjJvqYVwjWavuY0H1,Wos,ALMA DINAMITA,TRES PUNTOS SUSPENSIVOS,02:53,66,2020-05-21,2024-06-02
297Ev6aeDHc8dECDmK7SFH|61,297Ev6aeDHc8dECDmK7SFH,Wos,MORFEO,DESCARTABLE,03:53,61,2024-03-21,2024-06-02
2UAWYufVaO3EnUUNzl0ppO|62,2UAWYufVaO3EnUUNzl0ppO,Wos,CANGURO,CARAVANA,03:16,62,2019-10-04,2024-06-02
3hNKWD8kkxOEJ7K90PjWri|64,3hNKWD8kkxOEJ7K90PjWri,Wos,ANDRÓMEDA,ANDRÓMEDA,02:51,64,2018-10-04,2024-06-02
0bhWW1Bve1Ng6kEm8WjiQA|63,0bhWW1Bve1Ng6kEm8WjiQA,Wos,QUEREME,QUEREME,03:14,63,2022-06-16,2024-06-02
47DL8jY6HJD2mlCcTuOWKX|63,47DL8jY6HJD2mlCcTuOWKX,Wos,CONTANDO OVEJAS,OSCURO ÉXTASIS,03:23,63,2021-11-18,2024-06-02
0TUW9faHNaBmi89wsYGp9y|81,0TUW9faHNaBmi89wsYGp9y,Trueno,Mamichula - con Nicki Nicole,Atrevido,03:39,81,2020-07-23,2024-06-02
5XOz9c4Enw0fzyIFZRHds8|68,5XOz9c4Enw0fzyIFZRHds8,Trueno,TRANKY FUNKY,EL ÚLTIMO BAILE,02:37,68,2024-05-23,2024-06-02
3qukYaYSxIUBcq5UIUIsPf|71,3qukYaYSxIUBcq5UIUIsPf,Trueno,FEEL ME??,BIEN O MAL,03:07,71,2022-05-12,2024-06-02
